Ex	ExN50	num_transcripts
1	2458	1
2	5510	2
3	5510	4
4	2458	5
5	2458	7
6	2048	9
7	2458	12
8	2673	15
9	2673	17
10	2673	21
11	2458	24
12	2673	28
13	2673	32
14	2673	36
15	2458	40
16	2458	45
17	2246	50
18	2122	55
19	2122	61
20	2048	67
21	1990	74
22	1772	82
23	1728	90
24	1558	98
25	1752	107
26	1728	116
27	1585	125
28	1541	135
29	1425	146
30	1389	157
31	1303	169
32	1227	182
33	1286	195
34	1286	210
35	1341	226
36	1425	243
37	1303	263
38	1389	284
39	1333	307
40	1316	333
41	1411	362
42	1520	393
43	1518	428
44	1649	466
45	1765	508
46	1752	554
47	1746	604
48	1768	658
49	1790	718
50	1798	784
51	1816	855
52	1842	933
53	1837	1019
54	1833	1113
55	1854	1217
56	1872	1332
57	1881	1462
58	1882	1609
59	1882	1774
60	1918	1959
61	1965	2165
62	1979	2396
63	2001	2654
64	2040	2941
65	2071	3261
66	2101	3616
67	2143	4014
68	2162	4454
69	2195	4943
70	2224	5488
71	2240	6094
72	2246	6769
73	2277	7520
74	2277	8364
75	2288	9305
76	2297	10359
77	2302	11543
78	2310	12877
79	2305	14384
80	2298	16091
81	2305	18032
82	2301	20255
83	2279	22820
84	2260	25796
85	2233	29263
86	2203	33318
87	2160	38086
88	2109	43721
89	2064	50455
90	1990	58626
91	1911	68643
92	1815	81067
93	1706	96642
94	1589	116373
95	1459	141575
96	1312	174035
97	1148	216749
98	971	275805
99	767	379073
100	745	397569
