"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
768 0.228233357270778 2 69 "GO:0000002" "mitochondrial genome maintenance" 0.676187872007363
2368 0.106151892665169 3 13 "GO:0000012" "single strand break repair" 0.527629052254935
1069 0.0319525896692083 7 113 "GO:0000018" "regulation of DNA recombination" 0.338740230952426
1988 0.259012377690736 2 9 "GO:0000019" "regulation of mitotic recombination" 0.700138661757787
1322 0.144742215998775 3 34 "GO:0000027" "ribosomal large subunit assembly" 0.586505918813314
-310 0.736501657354913 7 33 "GO:0000028" "ribosomal small subunit assembly" 0.936235302009039
-1521 0.41553777245124 4 8 "GO:0000032;GO:0006057;GO:0031506;GO:0006056" "mannoprotein biosynthetic process" 0.810965825371795
-307 0.717263779411591 2 39 "GO:0000038" "very long-chain fatty acid metabolic process" 0.93184802846876
-619 0.132843412634697 2 166 "GO:0000041" "transition metal ion transport" 0.570751821103322
150 0.78502311710736 6 93 "GO:0000045;GO:1905037" "autophagosome organization" 0.947780968699899
-406 0.684537708527594 3 28 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.920198231135454
1174 0.389396307521802 4 15 "GO:0000052;GO:0019240" "citrulline metabolic process" 0.796976983671836
2770 0.241115356690655 2 5 "GO:0000053" "argininosuccinate metabolic process" 0.687245202344512
1626 0.103715333751217 5 28 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.52579253377487
3888 0.0199895028572139 2 10 "GO:0000055" "ribosomal large subunit export from nucleus" 0.278175089031229
2359 0.157952234203751 2 10 "GO:0000056" "ribosomal small subunit export from nucleus" 0.604387224303967
1489 0.0194315592491022 -1 69 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.275143955269594
221 0.462242685702181 2 315 "GO:0000070;GO:0000819;GO:0140014" "mitotic nuclear division" 0.835449503062497
272 0.296693793686787 3 420 "GO:0000075;GO:1901988" "negative regulation of cell cycle phase transition" 0.730325865315999
-86 0.918509566057725 7 40 "GO:0000076" "DNA replication checkpoint signaling" 0.98364751450024
151 0.628843713795544 2 290 "GO:0000077;GO:0031570;GO:0042770" "signal transduction in response to DNA damage" 0.904032084103006
-246 0.634221684154692 4 105 "GO:0000079;GO:1904029" "obsolete regulation of cyclin-dependent protein kinase activity" 0.905254339179327
-176 0.634721035187941 2 205 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.905412342128944
437 0.505409043743038 -1 65 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.850827674963445
880 0.0161983302178866 5 211 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.246057129116023
-175 0.772615885450979 3 76 "GO:0000096" "sulfur amino acid metabolic process" 0.945212527298516
343 0.68553686561635 2 39 "GO:0000097" "sulfur amino acid biosynthetic process" 0.920326470492939
-1538 0.182439489729183 2 21 "GO:0000098" "sulfur amino acid catabolic process" 0.631253878709052
1864 0.203360515167544 2 13 "GO:0000101" "sulfur amino acid transport" 0.65288161638281
345 0.862733973269428 3 7 "GO:0000103" "sulfate assimilation" 0.965684614729584
144 0.304153759484132 2 1550 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.737062227086234
669 0.0917871883210401 7 179 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.506332137551449
2774 0.000583852604784808 4 43 "GO:0000154" "rRNA modification" 0.0468679996219889
2919 0.0669794279336632 3 11 "GO:0000160" "phosphorelay signal transduction system" 0.448911385616942
-149 0.553089147161251 6 454 "GO:0000165" "MAPK cascade" 0.875081039224094
705 0.61752340177076 2 14 "GO:0000183;GO:0140718" "rDNA heterochromatin formation" 0.901858999354679
-997 0.0256354775614659 6 141 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.311751054979742
-741 0.450111982419833 -1 29 "GO:0000185" "obsolete activation of MAPKKK activity" 0.831751188843224
-218 0.739732389262225 -1 65 "GO:0000186" "obsolete activation of MAPKK activity" 0.936235302009039
5 0.99035199093668 -1 194 "GO:0000187" "obsolete activation of MAPK activity" 0.998039778406524
-639 0.438814717788493 -1 41 "GO:0000188" "obsolete inactivation of MAPK activity" 0.824567776691224
-70 0.79421927798476 2 400 "GO:0000209" "protein polyubiquitination" 0.950975565348421
317 0.565543637817093 3 92 "GO:0000212" "meiotic spindle organization" 0.880197350424951
183 0.250460617942445 4 1178 "GO:0000226" "microtubule cytoskeleton organization" 0.694385356273281
1638 0.145996977171277 3 22 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.589086215824422
989 0.030799835545606 2 134 "GO:0000245" "spliceosomal complex assembly" 0.336447648131453
653 0.434860699046291 2 40 "GO:0000266" "mitochondrial fission" 0.822074291256077
-687 0.277369503851448 3 70 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 0.717266814639248
-905 0.217109616196828 2 52 "GO:0000272" "polysaccharide catabolic process" 0.666637820226288
192 0.368378701049957 3 632 "GO:0000280;GO:0048285" "organelle fission" 0.784109749031043
194 0.579980500227619 4 231 "GO:0000281" "mitotic cytokinesis" 0.884949218128385
1844 0.355907181137378 4 7 "GO:0000282" "cellular bud site selection" 0.775914283405845
236 0.697626632129739 3 76 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.924664191521661
-124 0.886950861543575 3 37 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.971952838131148
-1187 0.400833226419016 3 14 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.803171041343977
417 0.588565610488795 -1 47 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.888440488041875
1679 0.314969479717032 2 10 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.743799083513574
-364 0.170278823062432 3 406 "GO:0000302" "response to reactive oxygen species" 0.618868032110219
-418 0.547476577458472 2 58 "GO:0000303;GO:0000305" "response to oxygen radical" 0.873594114322467
1098 0.556854460832707 -1 8 "GO:0000335;GO:0000337" "obsolete negative regulation of transposition, DNA-mediated" 0.876002897291377
1293 0.187838141694848 2 29 "GO:0000338" "protein deneddylation" 0.636437989744184
1740 0.461532213621588 3 5 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.834880634804299
1087 8.1801695776973e-07 4 593 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.000530910598769964
3861 0.102261025893253 3 5 "GO:0000379" "tRNA-type intron splice site recognition and cleavage" 0.524049437015125
-432 0.524130021747532 4 61 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.862703735065543
850 0.0113072105288049 2 251 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.216112249355053
966 0.187972916621959 2 52 "GO:0000387" "spliceosomal snRNP assembly" 0.636437989744184
2717 0.0464464467812159 3 15 "GO:0000389" "mRNA 3'-splice site recognition" 0.395584623781478
1414 0.478809752001469 2 7 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.84080744988018
48 0.96228549799067 6 27 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.992881776170593
1651 0.259887533274227 4 13 "GO:0000395" "mRNA 5'-splice site recognition" 0.701062019366556
