
SampleName	File	Mercury	pCO2	Treatment	Cluster
5	SEP2-CT8.1_5.counts	CT	8.1	CT8.1	Cluster3
6	SEP2-CT8.1_6.counts	CT	8.1	CT8.1	Cluster3
8	SEP2-CT8.1_8.counts	CT	8.1	CT8.1	Cluster3
9	SEP2-CT8.1_9.counts	CT	8.1	CT8.1	Cluster3
37	SEP2-CT8.1_37.counts	CT	8.1	CT8.1	Cluster2
38	SEP2-CT8.1_38.counts	CT	8.1	CT8.1	Cluster3
80	SEP2-CT8.1_80.counts	CT	8.1	CT8.1	Cluster3
10	SEP2-CT7.7_10.counts	CT	7.7	CT7.7	Cluster1
11	SEP2-CT7.7_11.counts	CT	7.7	CT7.7	Cluster2
12	SEP2-CT7.7_12.counts	CT	7.7	CT7.7	Cluster2
13	SEP2-CT7.7_13.counts	CT	7.7	CT7.7	Cluster3
46	SEP2-CT7.7_46.counts	CT	7.7	CT7.7	Cluster2
48	SEP2-CT7.7_48.counts	CT	7.7	CT7.7	Cluster1
85	SEP2-CT7.7_85.counts	CT	7.7	CT7.7	Cluster1
86	SEP2-CT7.7_86.counts	CT	7.7	CT7.7	Cluster2
19	SEP2-Hg8.1_19.counts	Hg	8.1	Hg8.1	Cluster3
20	SEP2-Hg8.1_20.counts	Hg	8.1	Hg8.1	Cluster3
21	SEP2-Hg8.1_21.counts	Hg	8.1	Hg8.1	Cluster3
24	SEP2-Hg8.1_24.counts	Hg	8.1	Hg8.1	Cluster3
25	SEP2-Hg8.1_25.counts	Hg	8.1	Hg8.1	Cluster1
55	SEP2-Hg8.1_55.counts	Hg	8.1	Hg8.1	Cluster3
56	SEP2-Hg8.1_56.counts	Hg	8.1	Hg8.1	Cluster3
28	SEP2-Hg7.7_28.counts	Hg	7.7	Hg7.7	Cluster1
30	SEP2-Hg7.7_30.counts	Hg	7.7	Hg7.7	Cluster2
31	SEP2-Hg7.7_31.counts	Hg	7.7	Hg7.7	Cluster2
32	SEP2-Hg7.7_32.counts	Hg	7.7	Hg7.7	Cluster1
68	SEP2-Hg7.7_68.counts	Hg	7.7	Hg7.7	Cluster1
