SampleName;Lateralization;AbsoluteLaterality;DisruptiveScore;UniformScore;Brightness;pH;Hg;Treatment
5;-0,385;0,385;23;0;0,879;8,04;0,07;CT
6;0;0;32;1;0,951;8,04;0,0571;CT
8;-1;1;27;0;0,897;8,04;0,6093;CT
9;-1;1;21;0;0,867;8,04;0,0627;CT
37;-0,5;0,5;8;0;0,961;8,02;0,0555;CT
38;-0,4;0,4;28;0;0,8;8,02;0,0482;CT
39;-0,5;0,5;29;0;0,82;8,02;0,0644;CT
80;-0,083;0,083;29;0;0,859;8,03;0,0576;CT
10;0;0;9;2;0,852;7,54;0,0646;CO2
11;0,4;0,4;1;0;0,918;7,54;0,0687;CO2
12;-0,1;0,1;2;1;0,89;7,54;0,0532;CO2
13;-0,7;0,7;19;0;0,851;7,54;0,0554;CO2
46;-0,2;0,2;5;4;0,9;7,56;0,0754;CO2
48;-0,5;0,5;8;2;0,852;7,56;0,0587;CO2
85;0;0;5;2;0,887;7,53;0,0595;CO2
86;0;0;1;3;0,934;7,53;0,6528;CO2
19;0,2;0,2;26;2;0,849;8,03;0,3041;Hg
20;0,1;0,1;16;0;0,792;8,03;0,3552;Hg
21;-0,5;0,5;23;0;0,862;8,03;0,5632;Hg
24;-0,3;0,3;23;1;0,897;8,03;0,3399;Hg
25;0,9;0,9;17;0;0,867;8,03;0,328;Hg
55;0;0;29;2;0,9;8,03;0,3719;Hg
56;0,4;0,4;22;0;0,852;8,04;0,3713;Hg
28;0;0;2;1;0,87;7,55;0,2791;Hg+CO2
30;0,2;0,2;7;0;0,898;7,55;0,2631;Hg+CO2
31;-0,3;0,3;2;2;0,89;7,55;0,3387;Hg+CO2
32;-0,2;0,2;2;3;0,851;7,55;0,2548;Hg+CO2
68;0,4;0,4;1;1;0,867;7,56;0,3349;Hg+CO2
