Ex	ExN50	num_transcripts
1	2458	1
2	2458	2
3	2458	4
4	1772	6
5	1771	8
6	1772	10
7	1772	13
8	2048	16
9	2672	19
10	2672	22
11	2458	26
12	2672	29
13	2672	34
14	2926	38
15	2926	43
16	2672	48
17	2458	53
18	2458	60
19	2061	66
20	1991	73
21	1971	81
22	1772	89
23	1585	98
24	1771	107
25	1585	116
26	1752	127
27	1558	137
28	1441	148
29	1389	160
30	1341	172
31	1285	185
32	1285	199
33	1285	215
34	1332	231
35	1341	248
36	1332	267
37	1316	288
38	1285	311
39	1285	337
40	1301	366
41	1381	397
42	1411	432
43	1433	471
44	1649	513
45	1687	558
46	1707	607
47	1707	662
48	1715	721
49	1764	787
50	1765	859
51	1790	938
52	1790	1025
53	1781	1120
54	1772	1225
55	1790	1342
56	1796	1475
57	1814	1624
58	1827	1792
59	1853	1982
60	1870	2194
61	1892	2431
62	1929	2694
63	1959	2989
64	1971	3318
65	2006	3687
66	2011	4101
67	2061	4563
68	2080	5078
69	2105	5652
70	2116	6291
71	2138	7001
72	2156	7792
73	2165	8682
74	2181	9680
75	2221	10802
76	2218	12067
77	2222	13493
78	2227	15100
79	2227	16918
80	2241	18988
81	2257	21365
82	2255	24098
83	2238	27255
84	2222	30926
85	2196	35204
86	2164	40201
87	2138	46076
88	2101	53036
89	2060	61384
90	2005	71501
91	1944	83858
92	1866	99094
93	1770	118063
94	1661	141792
95	1554	171638
96	1419	209544
97	1270	258884
98	1098	326380
99	899	442676
100	870	483699
