Transcript	DataBase.x	ProteinCode.x	ProteinName.x	DataBase.y	ProteinCode.y	ProteinName.y
TRINITY_DN0_c0_g1_i46	sp	B2RRL2	JERKL_MOUSE	sp	B2RRL2	JERKL_MOUSE
TRINITY_DN0_c2_g2_i5	sp	Q9QXG4	ACSA_MOUSE	NA	NA	NA
TRINITY_DN0_c7_g1_i1	sp	Q8BR63	F177A_MOUSE	NA	NA	NA
TRINITY_DN10_c0_g3_i1	sp	Q6DGZ0	GPT11_DANRE	NA	NA	NA
TRINITY_DN100_c1_g1_i3	sp	O94913	PCF11_HUMAN	NA	NA	NA
TRINITY_DN100_c1_g1_i7	sp	O94913	PCF11_HUMAN	NA	NA	NA
TRINITY_DN100_c1_g1_i8	sp	O94913	PCF11_HUMAN	NA	NA	NA
TRINITY_DN100_c1_g2_i1	sp	G3X9Z4	PCF11_MOUSE	sp	G3X9Z4	PCF11_MOUSE
TRINITY_DN1000_c2_g1_i6	sp	P04323	POL3_DROME	NA	NA	NA
TRINITY_DN10000_c0_g1_i1	sp	Q8VE65	TAF12_MOUSE	NA	NA	NA
TRINITY_DN100030_c0_g1_i1	sp	Q08893	E75_MANSE	NA	NA	NA
TRINITY_DN10006_c0_g1_i4	sp	P04323	POL3_DROME	NA	NA	NA
TRINITY_DN10006_c0_g1_i9	sp	Q7LHG5	YI31B_YEAST	NA	NA	NA
TRINITY_DN10008_c0_g1_i1	sp	P24485	CD53_RAT	NA	NA	NA
TRINITY_DN10008_c0_g1_i2	sp	P24485	CD53_RAT	NA	NA	NA
TRINITY_DN100098_c0_g1_i1	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN1001_c1_g1_i1	sp	A4IFA3	GT2D2_BOVIN	NA	NA	NA
TRINITY_DN10010_c0_g1_i2	sp	Q7Z3G6	PRIC2_HUMAN	NA	NA	NA
TRINITY_DN10010_c0_g3_i1	sp	Q15326	ZMY11_HUMAN	NA	NA	NA
TRINITY_DN10012_c0_g1_i1	sp	P83111	LACTB_HUMAN	NA	NA	NA
TRINITY_DN10012_c0_g1_i3	sp	P83111	LACTB_HUMAN	NA	NA	NA
TRINITY_DN10012_c0_g1_i6	sp	P83111	LACTB_HUMAN	NA	NA	NA
TRINITY_DN10012_c1_g2_i1	sp	P83111	LACTB_HUMAN	NA	NA	NA
TRINITY_DN100121_c0_g1_i1	sp	Q16822	PCKGM_HUMAN	NA	NA	NA
TRINITY_DN10013_c0_g1_i14	sp	A7Z035	EPN4_BOVIN	NA	NA	NA
TRINITY_DN10013_c0_g1_i2	sp	Q14677	EPN4_HUMAN	NA	NA	NA
TRINITY_DN10013_c0_g1_i6	sp	Q14677	EPN4_HUMAN	NA	NA	NA
TRINITY_DN10013_c0_g1_i9	sp	Q14677	EPN4_HUMAN	NA	NA	NA
TRINITY_DN100144_c0_g1_i1	sp	Q96IR2	ZN845_HUMAN	NA	NA	NA
TRINITY_DN10016_c0_g1_i4	sp	Q6PJ21	SPSB3_HUMAN	NA	NA	NA
TRINITY_DN10016_c0_g1_i5	sp	Q6PJ21	SPSB3_HUMAN	NA	NA	NA
TRINITY_DN10017_c1_g1_i1	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN100180_c0_g1_i1	sp	Q9MBF8	DYH1B_CHLRE	NA	NA	NA
TRINITY_DN1002_c0_g2_i1	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN1002_c0_g2_i2	sp	Q9NYT6	ZN226_HUMAN	NA	NA	NA
TRINITY_DN1002_c0_g3_i1	sp	Q6ZNG1	ZN600_HUMAN	NA	NA	NA
TRINITY_DN1002_c4_g1_i6	sp	Q0VF22	CC138_MOUSE	NA	NA	NA
TRINITY_DN1002_c4_g1_i8	sp	Q0VF22	CC138_MOUSE	NA	NA	NA
TRINITY_DN10021_c0_g1_i2	sp	P10073	ZSC22_HUMAN	NA	NA	NA
TRINITY_DN10021_c0_g1_i4	sp	Q8IYX0	ZN679_HUMAN	NA	NA	NA
TRINITY_DN10023_c0_g2_i1	sp	Q9UJL9	ZF69B_HUMAN	NA	NA	NA
TRINITY_DN10023_c0_g2_i5	sp	Q9UJL9	ZF69B_HUMAN	NA	NA	NA
TRINITY_DN10023_c4_g1_i2	sp	P18425	SCR20_NOTSL	NA	NA	NA
TRINITY_DN10025_c2_g2_i2	sp	P34275	IVD_CAEEL	NA	NA	NA
TRINITY_DN100316_c0_g1_i1	sp	Q9DCA2	RT11_MOUSE	NA	NA	NA
TRINITY_DN10032_c0_g3_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN10032_c1_g2_i1	sp	Q5R4X5	ZNF22_PONAB	NA	NA	NA
TRINITY_DN100322_c0_g1_i1	sp	P04323	POL3_DROME	NA	NA	NA
TRINITY_DN10033_c0_g1_i1	sp	Q6PI48	SYDM_HUMAN	NA	NA	NA
TRINITY_DN10033_c1_g1_i3	sp	Q8BX17	GEMI5_MOUSE	NA	NA	NA
TRINITY_DN10033_c1_g1_i4	sp	Q8BX17	GEMI5_MOUSE	NA	NA	NA
TRINITY_DN100344_c0_g1_i1	sp	Q6ZN57	ZFP2_HUMAN	NA	NA	NA
TRINITY_DN100355_c0_g1_i1	sp	O77503	AGO2_RABIT	NA	NA	NA
